totalCnt,pageUnit,pageIndex,순번,고유키,국가유산종목,문화재명(국문),문화재명(한자),시도명,시군구명,관리자,종목코드,시도코드,관리번호,지정해제여부,국가유산연계번호,경도,위도,최종수정일
15830,300,1,1,1,국보,서울 숭례문,서울 崇禮門,서울,중구,국가유산청 덕수궁관리소,11,11,0000010000000,N,1111100010000,126.975312652739,37.559975221378,2025-06-26 18:46:08
15830,300,1,2,2,국보,서울 원각사지 십층석탑,서울 圓覺寺址 十層石塔,서울,종로구,종로구,11,11,0000020000000,N,1111100020000,126.988207994364,37.5715461695449,2025-09-27 00:25:02
15830,300,1,3,3,국보,서울 북한산 신라 진흥왕 순수비,서울 北漢山 新羅 眞興王 巡狩碑,서울,용산구,국립중앙박물관,11,11,0000030000000,N,1111100030000,126.980350241652,37.5240413763397,2025-06-26 18:46:08
15830,300,1,4,220,국보,여주 고달사지 승탑,驪州 高達寺址 僧塔,경기,여주시,여주시,11,31,0000040000000,N,1113100040000,127.652160778359,37.3939072455202,2025-06-30 19:25:02
15830,300,1,5,238,국보,보은 법주사 쌍사자 석등,報恩 法住寺 雙獅子 石燈,충북,보은군,법주사,11,33,0000050000000,N,1113300050000,127.833219375596,36.5421679403972,2025-06-30 19:25:03
15830,300,1,6,239,국보,충주 탑평리 칠층석탑,忠州 塔坪里 七層石塔,충북,충주시,충주시,11,33,0000060000000,N,1113300060000,127.866630082822,37.0158885404695,2025-12-03 23:25:02
15830,300,1,7,251,국보,천안 봉선홍경사 갈기비,天安 奉先弘慶寺 碣記碑,충남,천안시,천안시,11,34,0000070000000,N,1113400070000,127.134710477185,36.943151950305,2025-07-07 10:55:02
15830,300,1,8,252,국보,보령 성주사지 대낭혜화상탑비,保寧 聖住寺址 大朗慧和尙塔碑,충남,보령시,보령시,11,34,0000080000000,N,1113400080000,126.655469090758,36.3446996913308,2025-06-30 19:25:05
15830,300,1,9,253,국보,부여 정림사지 오층석탑,扶餘 定林寺址 五層石塔,충남,부여군,부여군,11,34,0000090000000,N,1113400090000,126.913363436976,36.2792973520136,2025-06-30 19:25:05
15830,300,1,10,281,국보,남원 실상사 백장암 삼층석탑,南原 實相寺 百丈庵 三層石塔,전북,남원시,백장암,11,35,0000100000000,N,1113500100000,127.619971568516,35.4425391241814,2025-11-12 15:25:04
